step,time_s,vehicle_id_leader,leader_lane_pos_m,vehicle_id_follower,follower_lane_pos_m,leader_speed_mps,follower_speed_mps,gap_m,safe_dist_m,action
676,67.700,leader,277.945,follower,265.293,4.977,4.907,12.651,12.583,Leader: cruise | Follower: follow
677,67.800,leader,278.442,follower,265.800,4.975,5.069,12.642,12.925,Leader: cruise | Follower: brake (too close)
678,67.900,leader,278.940,follower,266.292,4.982,4.912,12.649,12.594,Leader: cruise | Follower: follow
679,68.000,leader,279.439,follower,266.807,4.986,5.158,12.632,13.115,Leader: cruise | Follower: brake (too close)
680,68.100,leader,279.935,follower,267.307,4.963,4.999,12.628,12.775,Leader: cruise | Follower: brake (too close)
681,68.200,leader,280.432,follower,267.792,4.969,4.844,12.640,12.451,Leader: cruise | Follower: follow
682,68.300,leader,280.930,follower,268.305,4.982,5.133,12.625,13.060,Leader: cruise | Follower: brake (too close)
683,68.400,leader,281.430,follower,268.802,4.999,4.974,12.628,12.723,Leader: cruise | Follower: brake (too close)
684,68.500,leader,281.927,follower,269.284,4.968,4.820,12.642,12.402,Leader: cruise | Follower: follow
685,68.600,leader,282.422,follower,269.783,4.956,4.984,12.640,12.745,Leader: cruise | Follower: brake (too close)
686,68.700,leader,282.919,follower,270.266,4.961,4.830,12.653,12.422,Leader: cruise | Follower: follow
687,68.800,leader,283.416,follower,270.765,4.975,4.996,12.651,12.769,Leader: cruise | Follower: brake (too close)
688,68.900,leader,283.912,follower,271.250,4.963,4.841,12.663,12.445,Leader: cruise | Follower: follow
689,69.000,leader,284.410,follower,271.761,4.981,5.118,12.649,13.027,Leader: cruise | Follower: brake (too close)
